ORGANISM_CODE,ORGANISM_NAME,ORGANISM_TYPE,ORGANISM_TYPE_DESCRIPTION,IS_COMMON,EXTRACTION_DATE,DATA_SOURCE
,Nannizzia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
103,Escherichia coli O103,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
104,Salmonella Typhimurium DT 104,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
111,Escherichia coli O111,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
135,"Neisseria meningitidis, serogroup W135",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
139,Vibrio cholerae O139,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
145,Escherichia coli O145,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
149,Escherichia coli O149,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
157,Escherichia coli O157:H7,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
1K1,Escherichia coli O1:K1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
2K2,Escherichia coli O2:K2,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
479,"Shigella flexneri, serogroup AA479",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
4C2,CDC IVc-2,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
788,Escherichia coli O78:K80,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AAD,Anaerococcus degeneri,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AAL,Alternaria alternata,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AAM,Actinobaculum sp.,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
AAN,Acinetobacter anitratus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AAP,Ehrlichia phagocytophilum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AAP,Anaplasma phagocytophilum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AAS,Anaplasma sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AAT,CDC Coryneform-like Group 1,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AAT,Actinomyces neuii ss. anitratus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ABA,Acinetobacter baumannii,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
ABE,CDC Coryneform Group 2,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ABE,CDC Coryneform Group 1,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ABE,Actinomyces bernardiae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ABG,Passalurus ambiguus,w,Other,No,2025-05-26,WHONET Organisms.txt
ABI,Abiotrophia sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ABL,Arthroderma borellii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ABO,Actinomyces bovis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ABR,Ancylostoma braziliense,w,Other,No,2025-05-26,WHONET Organisms.txt
ABS,Absidia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ABU,Arcobacter butzleri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ABX,Acinetobacter calcoaceticus-baumannii complex,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ABY,Acinetobacter baylyi,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AC-,Acinetobacter sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACA,Acinetobacter calcoaceticus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACB,Actinobacillus sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
